stem,s,base,diff,level
0,0,0,[NULL],9000
0,1,0,[NULL],9000
1,0,0,[NULL],9000
0,2,0,[NULL],9000
1,1,0,[NULL],9000
0,3,0,[NULL],9000
2,1,0,[NULL],9000
0,4,0,[NULL],9000
3,1,0,[NULL],9000
0,5,0,[NULL],9000
3,2,0,[NULL],9000
3,2,1,[NULL],9000
4,1,0,[NULL],9000
0,6,0,[NULL],9000
0,7,0,[NULL],9000
0,8,0,[NULL],9000
5,3,0,[NULL],9000
6,2,0,[NULL],9000
7,1,0,[NULL],9000
0,9,0,[NULL],9000
7,2,0,[NULL],9000
7,2,1,[NULL],9000
8,1,0,[NULL],9000
0,10,0,[NULL],9000
7,3,0,[NULL],9000
8,2,1,[NULL],9000
8,2,0,[NULL],9000
0,11,0,[NULL],9000
7,4,0,[NULL],9000
8,3,0,[NULL],9000
9,2,0,[NULL],9000
0,12,0,[NULL],9000
9,3,0,[NULL],9000
0,13,0,[NULL],9000
9,4,0,[NULL],9000
10,3,0,[NULL],9000
0,14,0,[NULL],9000
9,5,0,[NULL],9000
10,4,0,[NULL],9000
11,3,0,[NULL],9000
0,15,0,[NULL],9000
10,5,0,[NULL],9000
11,4,0,[NULL],9000
0,16,0,[NULL],9000
11,5,0,[NULL],9000
14,2,0,[NULL],9000
15,1,0,0,9998
0,17,0,[NULL],9000
11,6,0,[NULL],9000
11,6,1,[NULL],9000
12,5,0,[NULL],9000
14,3,0,0,2
15,2,0,[NULL],9000
15,2,1,0,9997
16,1,0,[NULL],9000
0,18,0,[NULL],9000
14,4,0,[NULL],9000
15,3,0,0,9997
16,2,0,[NULL],9000
0,19,0,[NULL],9000
14,5,0,1,3
15,4,0,[NULL],9000
15,4,1,[NULL],9000
16,3,0,0,9998
17,2,0,[NULL],9000
0,20,0,[NULL],9000
13,7,0,[NULL],9000
14,6,0,0,3
15,5,0,0,2
15,5,1,[NULL],9000
18,2,0,[NULL],9000
0,21,0,[NULL],9000
15,6,0,[NULL],9000
16,5,0,[NULL],9000
17,4,0,[NULL],9000
18,3,1,[NULL],9000
18,3,0,[NULL],9000
19,2,0,[NULL],9000
0,22,0,[NULL],9000
15,7,0,[NULL],9000
16,6,0,[NULL],9000
17,5,0,[NULL],9000
18,4,1,1,9998
18,4,0,0,9998
19,3,0,[NULL],9000
0,23,0,[NULL],9000
15,8,0,[NULL],9000
16,7,0,[NULL],9000
17,6,1,1,2
17,6,0,0,2
18,5,0,[NULL],9000
19,4,0,[NULL],9000
20,3,0,[NULL],9000
0,24,0,[NULL],9000
17,7,0,[NULL],9000
