stem,s,base,diff,level
0,0,0,"",9000
0,1,0,[NULL],9000
0,2,0,[NULL],9000
1,1,0,[NULL],9000
0,3,0,[NULL],9000
0,4,0,[NULL],9000
2,2,0,[NULL],9000
3,1,0,[NULL],9000
0,5,0,[NULL],9000
3,2,0,[NULL],9000
0,6,0,[NULL],9000
3,3,0,[NULL],9000
0,7,0,[NULL],9000
0,8,0,[NULL],9000
6,2,0,[NULL],9000
7,1,0,[NULL],9000
0,9,0,[NULL],9000
7,2,0,[NULL],9000
0,10,0,[NULL],9000
7,3,0,[NULL],9000
8,2,0,[NULL],9000
0,11,0,[NULL],9000
7,4,0,[NULL],9000
8,3,0,[NULL],9000
0,12,0,[NULL],9000
9,3,0,[NULL],9000
0,13,0,[NULL],9000
9,4,0,[NULL],9000
0,14,0,[NULL],9000
9,5,0,[NULL],9000
0,15,0,[NULL],9000
0,16,0,[NULL],9000
10,6,0,[NULL],9000
11,5,0,[NULL],9000
14,2,0,[NULL],9000
15,1,0,0,9998
0,17,0,[NULL],9000
11,6,0,[NULL],9000
14,3,0,0,2
15,2,0,0,9997
0,18,0,[NULL],9000
11,7,0,[NULL],9000
14,4,0,[NULL],9000
15,3,0,0,9997
16,2,0,[NULL],9000
0,19,0,[NULL],9000
14,5,0,0,3
15,4,0,[NULL],9000
0,20,0,[NULL],9000
14,6,0,0,3
15,5,0,[NULL],9000
15,5,1,[NULL],9000
17,3,0,[NULL],9000
18,2,0,[NULL],9000
0,21,0,[NULL],9000
15,6,0,[NULL],9000
17,4,0,0,9998
18,3,0,[NULL],9000
0,22,0,[NULL],9000
15,7,0,[NULL],9000
16,6,0,0,2
17,5,0,[NULL],9000
18,4,1,[NULL],9000
18,4,0,0,9998
19,3,0,[NULL],9000
0,23,0,[NULL],9000
15,8,0,[NULL],9000
16,7,0,[NULL],9000
17,6,0,0,2
18,5,0,0,9998
0,24,0,[NULL],9000
17,7,0,0,2
20,4,0,[NULL],9000
21,3,0,[NULL],9000
0,25,0,[NULL],9000
17,8,0,[NULL],9000
20,5,0,[NULL],9000
0,26,0,[NULL],9000
17,9,0,[NULL],9000
20,6,0,[NULL],9000
21,5,0,[NULL],9000
22,4,0,[NULL],9000
0,27,0,[NULL],9000
23,4,0,[NULL],9000
0,28,0,[NULL],9000
18,10,0,[NULL],9000
19,9,0,[NULL],9000
23,5,0,[NULL],9000
0,29,0,[NULL],9000
19,10,0,[NULL],9000
23,6,0,[NULL],9000
24,5,0,[NULL],9000
0,30,0,[NULL],9000
19,11,0,[NULL],9000
22,8,0,[NULL],9000
23,7,0,0,9998
0,31,0,[NULL],9000
22,9,0,0,2
23,8,0,0,9998
0,32,0,[NULL],9000
22,10,0,0,2
23,9,0,[NULL],9000
23,9,1,[NULL],9000
26,6,0,[NULL],9000
30,2,0,[NULL],9000
31,1,0,0,9998
0,33,0,[NULL],9000
23,10,0,[NULL],9000
25,8,0,0,9998
26,7,0,0,9998
30,3,0,0,2
31,2,0,0,9998
0,34,0,[NULL],9000
23,11,0,[NULL],9000
24,10,0,0,2
25,9,0,0,2
26,8,0,0,9998
30,4,0,0,2
31,3,0,[NULL],9000
31,3,1,0,9998
32,2,0,[NULL],9000
0,35,0,[NULL],9000
23,12,0,[NULL],9000
24,11,0,[NULL],9000
25,10,0,0,2
26,9,0,0,9998
30,5,0,1,2
31,4,0,0,9997
0,36,0,[NULL],9000
25,11,0,0,2
28,8,0,[NULL],9000
29,7,0,0,9998
30,6,0,0,9997
31,5,0,[NULL],9000
31,5,1,0,9997
32,4,0,[NULL],9000
33,3,0,[NULL],9000
34,2,0,0,9997
0,37,0,[NULL],9000
25,12,0,[NULL],9000
28,9,0,0,2
29,8,0,0,9998
30,7,0,0,3
31,6,0,0,9997
33,4,0,[NULL],9000
34,3,0,[NULL],9000
0,38,0,[NULL],9000
25,13,0,[NULL],9000
28,10,0,0,2
29,9,0,0,3
30,8,0,1,3
31,7,0,0,9997
32,6,0,[NULL],9000
33,5,0,0,3
34,4,0,[NULL],9000
0,39,0,[NULL],9000
30,9,0,0,3
31,8,"0,1",0,9996
31,8,1,0,9997
32,7,0,0,9998
0,40,0,[NULL],9000
26,14,0,[NULL],9000
27,13,0,[NULL],9000
30,10,0,0,3
31,9,0,0,2
31,9,1,0,9996
32,8,0,0,9998
33,7,0,[NULL],9000
34,6,0,[NULL],9000
35,5,0,[NULL],9000
37,3,0,[NULL],9000
38,2,0,0,9996
0,41,0,[NULL],9000
27,14,0,[NULL],9000
30,11,0,1,3
31,10,0,0,2
31,10,1,0,9996
32,9,0,0,9996
38,3,0,1,9996
0,42,0,[NULL],9000
27,15,0,[NULL],9000
30,12,0,"0,1",4
31,11,0,[NULL],9000
34,8,0,[NULL],9000
35,7,0,0,9998
36,6,0,[NULL],9000
37,5,0,[NULL],9000
38,4,1,[NULL],9000
38,4,0,0,9997
39,3,0,[NULL],9000
0,43,0,[NULL],9000
30,13,0,1,4
31,12,0,[NULL],9000
34,9,0,0,2
35,8,0,0,9998
37,6,0,0,4
38,5,0,[NULL],9000
39,4,0,[NULL],9000
0,44,0,[NULL],9000
30,14,0,1,4
31,13,0,0,4
31,13,1,[NULL],9000
34,10,0,0,2
35,9,0,[NULL],9000
37,7,0,0,3
37,7,1,0,4
38,6,1,[NULL],9000
38,6,0,1,9998
39,5,0,[NULL],9000
40,4,1,[NULL],9000
40,4,0,[NULL],9000
41,3,0,1,9998
0,45,0,[NULL],9000
31,14,0,[NULL],9000
33,12,0,0,9998
34,11,0,0,9998
37,8,1,0,2
37,8,0,0,9996
38,7,0,0,9998
40,5,1,0,2
40,5,0,[NULL],9000
41,4,0,1,9998
0,46,0,[NULL],9000
31,15,0,[NULL],9000
32,14,0,0,2
33,13,0,0,2
34,12,0,0,9998
37,9,0,0,2
38,8,0,0,9998
39,7,0,[NULL],9000
40,6,1,0,2
40,6,0,[NULL],9000
41,5,0,[NULL],9000
0,47,0,[NULL],9000
31,16,0,[NULL],9000
32,15,0,[NULL],9000
33,14,0,0,2
34,13,0,0,9998
37,10,0,0,2
38,9,0,0,9996
0,48,0,[NULL],9000
33,15,0,0,2
36,12,0,0,4
37,11,0,0,9998
39,9,0,[NULL],9000
40,8,0,[NULL],9000
41,7,0,[NULL],9000
42,6,0,[NULL],9000
44,4,0,[NULL],9000
45,3,0,[NULL],9000
0,49,0,[NULL],9000
33,16,0,[NULL],9000
36,13,0,0,2
37,12,0,0,9998
42,7,0,[NULL],9000
44,5,0,[NULL],9000
45,4,0,[NULL],9000
0,50,0,[NULL],9000
33,17,0,[NULL],9000
36,14,0,0,2
37,13,0,0,4
40,10,0,[NULL],9000
42,8,0,[NULL],9000
44,6,0,[NULL],9000
45,5,1,[NULL],9000
45,5,0,[NULL],9000
0,51,0,[NULL],9000
39,12,0,0,9996
40,11,0,0,9998
41,10,0,[NULL],9000
42,9,0,0,9998
45,6,0,[NULL],9000
0,52,0,[NULL],9000
34,18,0,[NULL],9000
35,17,0,[NULL],9000
39,13,0,0,2
40,12,0,0,9998
41,11,0,0,2
45,7,0,[NULL],9000
46,6,0,[NULL],9000
47,5,0,[NULL],9000
48,4,0,0,9998
0,53,0,[NULL],9000
35,18,0,[NULL],9000
39,14,0,0,2
40,13,0,0,9996
46,7,0,[NULL],9000
47,6,0,0,2
48,5,0,0,9998
0,54,0,[NULL],9000
35,19,0,[NULL],9000
38,16,0,0,4
39,15,0,0,9998
42,12,0,[NULL],9000
43,11,0,0,9998
44,10,0,0,9997
45,9,0,[NULL],9000
46,8,0,[NULL],9000
47,7,0,0,2
48,6,0,[NULL],9000
49,5,0,1,9998
50,4,0,[NULL],9000
0,55,0,[NULL],9000
38,17,0,0,2
39,16,0,0,9998
42,13,0,0,2
43,12,0,0,9998
47,8,0,[NULL],9000
47,8,1,[NULL],9000
48,7,1,0,2
48,7,0,[NULL],9000
49,6,0,1,9997
0,56,0,[NULL],9000
38,18,0,0,2
39,17,0,0,4
39,17,1,[NULL],9000
42,14,0,0,2
43,13,0,0,3
48,8,0,[NULL],9000
50,6,0,[NULL],9000
51,5,0,[NULL],9000
0,57,0,[NULL],9000
39,18,0,[NULL],9000
41,16,0,0,9998
42,15,0,0,9998
45,12,0,0,9996
46,11,0,[NULL],9000
47,10,0,[NULL],9000
48,9,1,0,3
48,9,0,[NULL],9000
51,6,0,[NULL],9000
52,5,0,0,9998
0,58,0,[NULL],9000
39,19,0,[NULL],9000
40,18,0,0,2
41,17,0,0,2
42,16,0,0,9998
51,7,0,0,2
52,6,0,[NULL],9000
53,5,0,[NULL],9000
0,59,0,[NULL],9000
39,20,0,[NULL],9000
40,19,0,[NULL],9000
41,18,0,0,2
42,17,0,0,9998
51,8,0,[NULL],9000
0,60,0,[NULL],9000
41,19,0,0,2
44,16,0,0,4
45,15,0,0,9998
46,14,0,0,9997
47,13,"0,1",[NULL],9000
47,13,1,0,9998
48,12,0,[NULL],9000
49,11,0,0,9997
50,10,0,0,9996
51,9,0,[NULL],9000
52,8,0,[NULL],9000
53,7,0,[NULL],9000
54,6,0,0,9997
0,61,0,[NULL],9000
41,20,0,[NULL],9000
44,17,0,0,2
45,16,0,0,9998
46,15,0,1,2
47,14,0,0,9998
0,62,0,[NULL],9000
41,21,0,[NULL],9000
44,18,0,0,2
45,17,0,0,3
46,16,0,0,2
47,15,0,0,9998
48,14,0,0,3
53,9,0,0,3
54,8,0,0,9997
55,7,0,1,9997
0,63,0,[NULL],9000
46,17,0,0,2
47,16,0,0,9996
47,16,1,0,9998
48,15,0,0,9998
49,14,0,0,4
50,13,0,0,9998
51,12,0,0,9996
52,11,0,[NULL],9000
53,10,0,[NULL],9000
54,9,0,[NULL],9000
0,64,0,[NULL],9000
42,22,0,[NULL],9000
43,21,0,[NULL],9000
46,18,0,1,2
47,17,0,0,2
47,17,1,0,9998
48,16,0,0,9998
49,15,0,0,2
53,11,0,0,3
54,10,1,0,3
54,10,0,0,9998
57,7,0,1,9997
58,6,0,1,9998
62,2,0,[NULL],9000
63,1,0,0,9998
0,65,0,[NULL],9000
43,22,0,[NULL],9000
46,19,0,1,2
47,18,0,0,2
47,18,1,0,9997
48,17,0,0,9996
53,12,0,0,2
54,11,0,[NULL],9000
54,11,1,1,9998
56,9,0,0,9995
57,8,1,0,2
57,8,0,0,9997
58,7,0,1,9998
61,4,0,0,9997
62,3,0,0,2
63,2,0,0,9998
0,66,0,[NULL],9000
43,23,0,[NULL],9000
46,20,0,0,4
47,19,0,0,9997
50,16,0,0,4
51,15,0,0,9998
52,14,0,0,9997
53,13,1,1,2
53,13,0,[NULL],9000
54,12,0,[NULL],9000
54,12,1,0,9998
55,11,0,"0,1",9996
56,10,1,0,3
56,10,0,0,9998
57,9,1,0,2
57,9,0,0,9997
58,8,0,[NULL],9000
62,4,0,0,2
63,3,0,[NULL],9000
63,3,1,2,9998
64,2,0,[NULL],9000
0,67,0,[NULL],9000
46,21,0,1,3
47,20,0,[NULL],9000
50,17,0,0,2
51,16,0,0,9998
53,14,0,1,2
54,13,0,0,9998
55,12,0,0,2
56,11,0,0,3
57,10,0,[NULL],9000
60,7,0,0,3
61,6,"0,1",0,9995
61,6,1,0,9998
62,5,2,1,2
62,5,1,0,9997
62,5,0,"0,1",9998
63,4,0,1,9998
0,68,0,[NULL],9000
46,22,0,0,3
47,21,0,0,4
47,21,1,[NULL],9000
50,18,0,0,2
51,17,0,0,3
53,15,0,0,2
54,14,0,1,9998
56,12,0,0,3
57,11,0,1,9998
60,8,0,1,2
61,7,"0,1",0,2
61,7,1,1,9998
62,6,1,0,2
62,6,0,[NULL],9000
63,5,0,0,9998
64,4,0,[NULL],9000
65,3,1,[NULL],9000
65,3,0,[NULL],9000
66,2,0,0,9998
0,69,0,[NULL],9000
47,22,0,[NULL],9000
49,20,0,0,9998
50,19,0,0,9998
53,16,1,0,2
53,16,0,0,9996
54,15,"0,1",0,4
54,15,1,0,9998
55,14,0,0,5
56,13,1,0,2
56,13,0,0,9996
57,12,0,0,9996
59,10,0,[NULL],9000
60,9,1,1,2
60,9,0,0,9998
61,8,0,1,3
62,7,0,0,2
63,6,0,[NULL],9000
63,6,1,2,9998
64,5,0,[NULL],9000
65,4,0,0,2
66,3,0,0,9998
0,70,0,[NULL],9000
47,23,0,[NULL],9000
48,22,0,0,2
