id,s,t,base,diff,level
0,0,1,0,,9000
1,1,3,0,,9000
2,0,3,0,,9000
3,1,4,0,,9000
4,2,5,0,,9000
5,1,5,0,,9000
6,1,7,0,,9000
7,0,7,0,,9000
8,1,8,1,,9000
9,1,8,0,,9000
10,2,9,2,,9000
11,2,9,1,,9000
12,2,9,0,,9000
13,1,9,2,,9000
14,1,9,1,,9000
15,1,9,0,,9928
16,3,10,1,,9000
17,3,10,0,,9000
18,2,10,1,,9000
19,2,10,0,,9929
20,4,11,0,,9000
21,2,11,2,,9000
22,2,11,1,,9000
23,2,11,0,,9000
24,1,11,1,,9000
25,1,11,0,,9000
26,5,12,0,,9000
27,3,12,1,,9000
28,3,12,0,,9000
29,2,12,2,,9000
30,2,12,1,,9000
31,2,12,0,,9000
32,6,13,0,,9000
33,4,13,0,,9000
34,3,13,2,,9000
35,3,13,1,,9000
36,3,13,0,,9000
37,2,13,0,,9928
38,7,14,0,,9000
39,4,14,0,,9000
40,8,15,0,,9000
41,5,15,0,,9000
42,4,15,0,,9000
43,2,15,0,,9000
44,1,15,0,,9000
45,9,16,0,,9000
46,5,16,0,,9000
47,3,16,0,,9000
48,2,16,1,,9000
49,2,16,0,,9000
50,10,17,0,,9000
51,6,17,0,,9000
52,3,17,2,,9000
53,3,17,1,,9000
54,3,17,0,,9000
55,2,17,1,,9000
56,2,17,0,,9000
57,1,17,0,,9000
58,11,18,0,,9000
59,4,18,1,,9000
60,4,18,0,,9000
61,3,18,1,,9000
62,3,18,0,,9000
63,12,19,0,,9000
64,5,19,0,,9000
65,4,19,1,,9000
66,4,19,0,,9000
67,3,19,1,,9000
68,3,19,0,,9000
69,2,19,0,,9000
70,2,19,1,,9000
71,1,19,0,,9994
72,13,20,0,,9000
73,5,20,0,,9000
74,4,20,0,,9000
75,2,20,0,,9000
76,14,21,0,,9000
77,6,21,0,,9000
78,5,21,2,,9000
79,5,21,1,,9000
80,5,21,0,,9000
81,4,21,0,,9000
82,3,21,1,,9000
83,3,21,0,0,9998
84,2,21,1,,9000
85,2,21,0,,9995
86,15,22,0,,9000
87,7,22,0,,9000
88,6,22,1,,9000
89,6,22,0,,9000
90,5,22,0,0,2
91,4,22,0,1,9998
92,16,23,0,,9000
93,6,23,1,0,2
94,6,23,0,,9000
95,5,23,0,,9000
96,4,23,0,,9000
97,3,23,1,,9000
98,3,23,0,,9994
99,2,23,0,,9000
100,2,23,1,,9000
101,1,23,0,1,9998
102,17,24,0,,9000
103,7,24,1,,9000
104,7,24,0,,9000
105,6,24,1,,9000
106,6,24,0,,9000
107,4,24,0,,9994
108,3,24,1,0,2
109,3,24,0,,9000
110,2,24,0,,9000
111,2,24,1,1,9997
112,18,25,0,,9000
113,8,25,0,,9000
114,7,25,1,,9000
115,7,25,0,,9000
116,5,25,0,,9000
117,4,25,0,,9000
118,4,25,2,,9000
119,4,25,1,,9000
120,3,25,3,,9000
121,3,25,2,,9000
122,3,25,0,,9000
123,3,25,1,1,9997
124,2,25,1,,9000
125,2,25,0,,9997
126,19,26,0,,9000
127,8,26,0,,9000
128,5,26,1,1,3
