id,s,t,base,diff,level
0,0,1,0,,9000
1,1,3,0,,9000
2,0,3,0,,9000
3,1,4,0,,9000
4,2,5,0,,9000
5,1,5,0,,9000
6,1,7,0,,9000
7,0,7,0,,9000
8,1,8,0,,9000
9,2,9,1,,9000
10,2,9,0,,9000
11,1,9,1,,9000
12,1,9,0,,9000
13,3,10,0,,9000
14,2,10,0,,9000
15,2,11,1,,9000
16,2,11,0,,9000
17,1,11,0,,9000
18,3,12,0,,9000
19,2,12,0,,9000
20,1,12,0,0,9998
21,4,13,0,,9000
22,3,13,0,0,2
23,2,13,0,,9000
24,1,13,0,,9995
25,3,14,0,,9000
26,2,14,0,,9996
27,5,15,0,,9000
28,4,15,0,,9000
29,4,15,1,,9000
30,2,15,0,,9000
31,1,15,0,,9000
32,5,16,0,,9000
33,5,16,1,,9000
34,3,16,0,,9000
35,2,16,1,,9000
36,2,16,0,,9000
37,6,17,1,,9000
38,6,17,0,,9000
39,3,17,0,,9000
40,3,17,1,,9000
41,2,17,0,,9000
42,1,17,0,,9995
43,7,18,0,,9000
44,4,18,0,,9000
45,8,19,0,,9000
46,5,19,0,,9000
47,4,19,1,,9000
48,4,19,0,,9000
49,3,19,0,,9996
50,2,19,1,,9000
51,2,19,2,,9000
52,2,19,0,,9000
53,1,19,1,,9994
54,1,19,0,,9994
55,9,20,0,,9000
56,5,20,0,,9000
57,3,20,0,0,9998
58,2,20,2,,9994
59,2,20,0,,9994
60,2,20,1,,9995
61,10,21,0,,9000
62,6,21,0,,9000
63,5,21,0,0,2
64,4,21,0,,9000
65,3,21,4,,9000
66,3,21,3,,9000
67,3,21,2,,9000
68,3,21,0,,9996
69,3,21,1,0,9998
70,2,21,2,,9000
71,2,21,1,,9993
72,2,21,0,,9997
73,11,22,0,,9000
74,7,22,0,,9000
75,6,22,0,,9000
76,5,22,0,1,2
77,4,22,1,,9000
78,4,22,0,,9000
79,4,22,2,0,9998
80,3,22,0,,9994
81,3,22,1,,9994
82,12,23,0,,9000
83,6,23,0,2,2
84,5,23,0,,9000
85,4,23,0,,9995
86,4,23,1,,9995
87,3,23,1,,9000
88,3,23,2,,9000
89,3,23,0,,9994
90,2,23,0,,9000
91,2,23,1,,9000
92,1,23,0,,9997
93,13,24,0,,9000
94,7,24,0,,9000
95,4,24,0,,9994
96,4,24,1,,9994
97,3,24,0,,9000
98,2,24,0,,9995
99,14,25,0,,9000
100,8,25,0,,9000
101,5,25,2,,9000
102,5,25,1,,9995
103,5,25,0,,9995
104,4,25,0,,9000
105,4,25,2,,9000
106,4,25,1,,9000
107,3,25,3,,9000
108,3,25,2,,9000
109,3,25,1,,9000
110,3,25,0,0,9998
111,2,25,1,,9000
112,2,25,0,,9997
113,15,26,0,,9000
114,6,26,0,,9996
115,5,26,0,0,2
116,4,26,1,,9000
117,4,26,0,,9997
118,3,26,1,,9997
119,3,26,0,,9997
120,16,27,0,,9000
121,9,27,0,,9000
122,8,27,0,,9000
123,6,27,0,,9000
124,5,27,0,,9000
125,5,27,1,,9000
126,4,27,1,,9000
127,4,27,0,,9000
128,3,27,1,,9000
