stem,s,base,diff,level
85,0,0,[NULL],9000
86,1,0,[NULL],9000
87,0,0,[NULL],9000
87,1,0,[NULL],9000
87,2,0,[NULL],9000
88,1,0,[NULL],9000
91,1,0,[NULL],9000
91,2,0,[NULL],9000
92,1,0,[NULL],9000
91,3,0,[NULL],9000
92,2,0,[NULL],9000
93,2,0,[NULL],9000
94,1,0,[NULL],9000
95,0,0,0,9996
93,3,0,[NULL],9000
94,2,1,[NULL],9000
94,2,0,[NULL],9000
95,1,0,[NULL],9000
93,4,0,[NULL],9000
94,3,0,[NULL],9000
95,2,0,[NULL],9000
96,1,0,[NULL],9955
94,4,0,0,4
95,3,0,[NULL],9000
94,5,0,[NULL],9000
95,4,0,[NULL],9000
97,2,0,[NULL],9955
98,1,0,[NULL],9957
95,5,0,[NULL],9000
97,3,0,[NULL],9000
98,2,0,[NULL],9000
95,6,0,[NULL],9000
98,3,0,[NULL],9000
99,2,0,[NULL],9000
100,1,0,[NULL],9000
99,4,0,[NULL],9000
100,3,0,[NULL],9000
101,2,1,[NULL],9000
101,2,0,[NULL],9000
102,1,0,[NULL],9000
99,5,0,[NULL],9962
102,2,0,[NULL],9000
99,6,0,[NULL],9962
100,5,0,[NULL],9000
102,3,0,[NULL],9000
103,2,0,[NULL],9000
99,7,0,[NULL],9000
100,6,0,[NULL],9000
103,4,0,0,9998
101,7,0,[NULL],9000
102,6,0,0,2
103,5,0,0,9998
106,2,0,[NULL],9966
101,8,0,[NULL],9000
102,7,0,0,2
103,6,0,0,9998
105,4,0,[NULL],9000
106,3,1,[NULL],9966
106,3,0,[NULL],9967
102,8,0,0,2
103,7,0,[NULL],9968
105,5,0,[NULL],9000
106,4,1,[NULL],9000
106,4,0,0,9998
107,3,1,[NULL],9000
107,3,0,[NULL],9000
102,9,0,[NULL],9000
103,8,0,[NULL],9000
105,6,0,0,2
106,5,0,0,9998
103,9,0,[NULL],9000
105,7,0,0,2
106,6,0,[NULL],9000
108,4,0,[NULL],9000
103,10,0,[NULL],9000
108,5,0,0,9997
108,6,0,[NULL],9000
109,5,0,0,9998
110,4,0,[NULL],9000
111,3,0,[NULL],9972
107,8,0,0,3
108,7,0,0,2
109,6,0,0,9997
110,5,"0,1",[NULL],9973
110,5,1,[NULL],9973
111,4,0,[NULL],9973
111,4,1,0,9998
112,3,0,[NULL],9973
113,2,0,[NULL],9998
114,1,0,0,9998
107,9,0,[NULL],9974
110,6,0,1,2
111,5,1,[NULL],9000
